filename, language, YAML, Properties, Dart, Markdown, Groovy, C++, Swift, XML, JSON, comment, blank, total
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/match_details_bloc/bloc.dart, Dart, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/match_details_bloc/match_details_bloc.dart, Dart, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 26, 121
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/match_details_bloc/match_details_event.dart, Dart, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 22, 53
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/match_details_bloc/match_details_state.dart, Dart, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 18, 54
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/profile_bloc/bloc.dart, Dart, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/profile_bloc/profile_bloc.dart, Dart, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 13, 63
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/profile_bloc/profile_event.dart, Dart, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 14
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/profile_bloc/profile_state.dart, Dart, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 27
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/register_bloc/bloc.dart, Dart, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/register_bloc/register_bloc.dart, Dart, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 9, 52
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/register_bloc/register_event.dart, Dart, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
/home/jakub/Projects/agh_soccer/frontend/lib/src/bloc/register_bloc/register_state.dart, Dart, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 27
/home/jakub/Projects/agh_soccer/frontend/lib/src/config/api_config.dart, Dart, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
/home/jakub/Projects/agh_soccer/frontend/lib/src/models/chat_message.dart, Dart, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
/home/jakub/Projects/agh_soccer/frontend/lib/src/models/create_edit_match.dart, Dart, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
/home/jakub/Projects/agh_soccer/frontend/lib/src/models/match.dart, Dart, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
/home/jakub/Projects/agh_soccer/frontend/lib/src/models/match_filter.dart, Dart, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
/home/jakub/Projects/agh_soccer/frontend/lib/src/models/user.dart, Dart, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
